rank,trial,best_metric,best_metric_name,best_epoch,epochs_run,stopped_early,finished_at,lr,weight_decay,dropout,batch_size,n_layers,c_hidden,n_heads,n_qpoints,n_vpoints
1,trial_127,3.108296876814275,val_rmsd_mean,99,100,False,2026-05-05T04:06:38,0.0004951164980973235,1.2354634826413748e-06,0.06146091294736064,16,6,64,2,8,4
2,trial_000,3.190305317646796,val_rmsd_mean,84,100,False,2026-05-04T22:35:46,0.0003574712922600243,0.0007114476009343421,0.36599697090570255,16,4,8,2,8,12
3,trial_007,3.1906902732627045,val_rmsd_mean,87,100,False,2026-05-04T22:50:47,0.0005527361503993266,1.4270403521460853e-06,0.13932323211830572,16,8,8,4,2,4
4,trial_084,4.0746606323497465,val_rmsd_mean,21,51,True,2026-05-05T01:31:58,0.0011518511294417082,0.0004080691015812643,0.1377586191379516,16,6,64,4,8,4
5,trial_095,4.0807479562856255,val_rmsd_mean,24,54,True,2026-05-05T02:04:16,0.0008409897709848934,0.0007699149933333389,0.1411814156943626,16,12,64,4,8,8
6,trial_097,4.0891202991633175,val_rmsd_mean,30,60,True,2026-05-05T02:09:30,0.0005597730352594696,0.000953734224953619,0.04056532107436639,32,12,64,6,8,8
7,trial_107,4.10465619889505,val_rmsd_mean,24,54,True,2026-05-05T02:42:11,0.00032309515781948396,0.0004345127385835275,0.07158993420092655,16,11,16,6,8,8
8,trial_144,4.113860010644255,val_rmsd_mean,12,42,True,2026-05-05T04:47:55,0.0013702795092967273,7.991690944439291e-06,0.13282575368531496,16,9,64,4,8,4
9,trial_055,4.11459453622549,val_rmsd_mean,21,51,True,2026-05-05T00:27:40,0.0011299568847166787,1.0234348933055947e-06,0.24117598386026456,32,11,64,2,8,4
10,trial_072,4.115356580115001,val_rmsd_mean,12,42,True,2026-05-05T01:05:33,0.0008524915548886034,1.133938611302239e-05,0.22025785857648505,16,8,64,4,8,4
11,trial_003,4.118836217318663,val_rmsd_mean,27,57,True,2026-05-04T22:41:52,0.0003364867144187955,6.963114377829292e-06,0.27134804157912423,32,12,64,6,8,4
12,trial_103,4.1207004835277585,val_rmsd_mean,18,48,True,2026-05-05T02:27:49,0.0005641355697371734,0.0007460558722978675,0.06509992108719312,16,11,64,2,8,8
13,trial_032,4.128291511633852,val_rmsd_mean,18,48,True,2026-05-04T23:38:21,0.0005080894474584228,1.085602286943353e-06,0.08292324622505182,32,11,64,6,8,4
14,trial_044,4.130984386760027,val_rmsd_mean,21,51,True,2026-05-05T00:04:09,0.0005954128678449825,0.00010146643503197665,0.1987736055903529,32,10,64,6,2,4
15,trial_057,4.148400511863459,val_rmsd_mean,24,54,True,2026-05-05T00:32:34,0.0012201527985079188,2.226458613652534e-06,0.13825386325693217,16,8,64,2,8,4
16,trial_065,4.163743681084628,val_rmsd_mean,21,51,True,2026-05-05T00:49:39,0.001128624996821922,7.512060562369527e-06,0.15270180466381644,16,8,64,4,8,4
17,trial_096,4.167060989957837,val_rmsd_mean,15,45,True,2026-05-05T02:07:02,0.000866709935322736,0.0008675265001008434,0.06603923090484162,16,12,32,2,8,8
18,trial_121,4.167230193721619,val_rmsd_mean,18,48,True,2026-05-05T03:43:26,0.0012147691644222192,0.0007824224303150507,0.13975287576175968,16,10,64,2,8,4
19,trial_148,4.175207236701235,val_rmsd_mean,30,60,True,2026-05-05T05:02:36,0.0005618460469549613,7.900840789803034e-06,0.16002026829447738,16,11,16,2,8,4
20,trial_118,4.181971152318485,val_rmsd_mean,30,60,True,2026-05-05T03:32:06,0.0006653973721485068,1.0567682010187105e-06,0.0912825760516218,16,12,64,6,8,8
